3627 Felicia :  rat .. lol
168745 Harrison *  left the room (quit: Read error: 110 (Connection timed out)).
168748 Lajuana :  And the question is?
168750 Hoa :  try removing the / from the end
168753 Kaylee :  how do you spell "O"
168754 Larraine :  Hoa, I've been trying for HOURS
168755 Larraine :  :P
168758 Genevive *  left the room (quit: Connection timed out).
168760 Lajuana :  (the answer, I think, is "your teacher is a dick")
168763 Kaylee :  o wait...
168764 Kaylee :  nvm
168769 Dagny :  Larraine: Tell your teacher they score nil point
168775 Chauncey *  entered the room.
168784 Larraine :  any tips of other syntax my teacher might expect in this case? lol
168795 Larraine :  I am in a dir, and want to put one sub-dir in the other
168799 Dagny :  Larraine: Yeah, tell them to try reading "man mv" !
168803 Larraine :  mv -r dir1 dir2/
168806 Aron :  all i need is a glib installer package for windows and i'm set.
168812 Lajuana :  There's no -r to mv.
168816 Lajuana :  It's just "mv source dest"
168823 Aron :  mv -r lol
168827 Larraine :  AMG :P
168832 Lajuana :  If dest doesn't exist, it renames. If dest exists and is a dir, it moves source /into/ dest.
168833 Hoa :  Larraine: you don't need -r, definitely
168865 Hoa :  mv folder1 folder2/ OR mv folder1 folder2 OR mv folder1/ folder2/
168868 Hoa :  can't really think of anything else
168872 Sharell *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
168877 Hoa :  unless they copied it and then deleted the original, just to be awkward  :)
168899 Evelyne *  entered the room.
168903 Myrtis :  mv in the same filesystem is a lot faster then cp, of course
168915 Myrtis :  almost instant, rather then not
168918 Dagny :  Larraine: You sure your teacher isn't using Windows? also, try "cp folder1 folder2/"
168929 Voncile *  is now known as Voncile
168945 Aron :  Larraine: create a note! touch file.txt && nano file.txt || vi file.txt
168949 Larraine :  Dagny, if I do cp when I'm supposed to do mv he will flame me
168952 Lajuana :  Dagny: (1) cp is not mv (2) cp will not copy directories by default
168964 Dagny :  BTW, cp -r does recursive dirs
168968 Larraine :  Aron, why would I create a note on my own comp?
168972 Myrtis :  cp -a, recommended
168975 Antonio *  entered the room.
168977 Voncile *  is now known as Voncile
168980 Lajuana :  You need cp -a or cp -r. And in either case it won't do what he needs.
168988 Myrtis :  I create notes on my computer all the time
169018 Rosanne :  tar -cpf - folder1/ | tar -xpf - -C /folder2/; rm -Rf folder1
169028 Dagny :  Larraine: What is the scenario this test assumes?
169030 Peg *  entered the room.
169053 Peg :  is there something similar to apple ][ basic in linux?
169057 Kali :  Lajuana: copying
169065 Dagny :  Peg: PERL :)
169071 Shelley *  left the room.
169077 Peg :  but perl cant draw
169078 Aron :  mv location destination ... rm file.extension ... cp filename.ext destination/ ... cp -R directoryname destination ... file * = file types, du -ak directoryname = filesizes ... ls -lSr = ordered list of files with sizes permissions grouping etc
169087 Aron :  that's why Larraine
169123 Dagny :  Peg: what is it you need? most languages have extension graphics libraries like GD
169128 Peg :  id like to draw on in paint handler but it to remember the frame
169139 Peg :  not it paint handler
169141 Lajuana :  Kali: You could do it with cp, but rsync -avv --progress source/ dest is a better choice
169143 Aron :  Larraine: that's the lowdown...
169156 Lajuana :  Kali: the trailing / will cause it to copy the directory contents rather than the directory itself.
169170 Lajuana :  And using rsync ensures that it gets .files and so forth as well.
169180 Kali :  .files meaning?
169183 Andrew *  left the room (quit: "[- Cerebro Script -]").
169183 Kali :  .htaccess and such?
169196 Peg :  to draw as if it's a console but in a x window
169197 Buster *  entered the room.
169197 Kali :  will it preserve permissions e.g. on /files/ dir...
169270 Aron :  Trixey, even check this out... cd /usr/bin && for a in `ls -1`; do whatis $a ; done > whatall.txt && less whatall.txt
169289 Peg :  maybe i should write one
169291 Donette *  left the room (quit: "Leaving").
169295 Santo *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
169395 Tyra *  left the room (quit: Remote closed the connection).
169400 Juliana :  can anyone help me with the quota issue?
169427 Cassi *  entered the room.
169457 Peg *  left the room (quit: "Leaving").
169469 Travis *  entered the room.
169489 Kali :  Lajuana: :(  Wow, my Linux skills need help.   I can't find my home directory...
169490 Travis :  any of you know how to force pseudo-tty allocation in ssh ?  i.e. client user ssh -T box and -T on the client side will disable pseudo-tty allocation .. which will make them not show up in 'w' etc...  anybody know how to anybody know how to force this SERVER side (and not -t option in the client)
169493 Cordelia *  left the room.
169501 Travis :  dave cd ~
169507 Lizbeth *  entered the room.
169518 Kali :  Travis: I guess I meant the dir for a particular domain...
169520 Rickie *  entered the room.
169522 Aron :  matrix_autobrowse.sh
169522 Aron :  #!/bin/bash
169522 Aron :  while true ; do for a in `cat /usr/share/dict/linux.words | nl | grep "$RANDOM" | awk '{print $2}' | tr "A-Z" "a-z" | head -1`; do links -g www.$a.com & sleep 12s && killall -9 links ; done ; done
169524 Kali :  Where all the domains are...
169527 Wilson *  entered the room.
169559 Aron :  that's the wierdest freaking script i've ever written.
169578 Aron :  it just shows you pages on the internet, and you have no idea how it'll come together.
169588 Consuela *  entered the room.
169601 Aron :  that basic idea could be formed into a specific interest base browser.
169618 Laurine *  entered the room.
169650 Aron :  by using wget to retrieve a google topic and downloading all the links, then viewing that stuff.
169670 Laurine :  hey, how many TeraBytes can one possibly send in a month if you have a 15Mbit/s connection sustained 24/7?
169672 Aron :  pretty f'n cool huh?
169691 Eve *  left the room (quit: Connection reset by Brandie).
169697 Travis *  left the room (quit: "Leaving").
169701 Laurine :  can someone please help me with that math?  -I'm about to sign a contract..
169711 Shirlee *  left the room (quit: Connection timed out).
169751 Shawanda *  entered the room.
169757 Lajuana :  Laurine: 15*1024*1024 to get bits, /8 to get bytes, *60*60*24*30 to be per month, then divide by terabytes.
169762 Felicia :  you need a .
169766 Felicia :  Larraine:
169775 Shawanda :  is there any free virus scanner out there for linux? (something like antivir for windows maybe)
169785 Larraine :  it's ok
169786 Larraine :  I got it now :p
169787 Larraine :  finally
169799 Laurine :  Lajuana, that's what I did, and I got about 4.63TB/month if I'm at 15Mbit/s sustained..  -is that 100% correct?
169799 Lajuana :  Shawanda: there's a version of AVG for it, I believe.
169805 Dean :  Shawanda: avlinux
169806 Bennett :  Laurine: 5 i my math is right
169812 Felicia :  Larraine: lets see it
169814 Dean :  Shawanda: sorry, clamav
169817 Laurine :  Bennett, thanks..  anyone else?
169826 Bennett :  Lajuana: data transder speeds are usually base_10, so its not 1024
169828 Dean :  Shawanda: had a brain giltch there for a second. :)
169837 Larraine :  Felicia, can't show it.. it got checked by the comp.. and turned out to be correct
169838 Lajuana :  Laurine: GS>15 1024 mul 1024 mul 8 div 60 mul 60 mul 24 mul 30 mul 1024 1024 mul 1024 mul 1024 mul div ==
169838 Lajuana :  4.63485718
169842 Larraine :  :P
169847 Bennett :  but (15000000/8) *31*24*60*60 should be right
169851 Laurine :  yah, that's what I got, too..
169858 Felicia :  Larraine: i'm not asking for my sake
169860 Shawanda :  ok another thing: I cant start firefox, it tells me firefox is running but frozen and I need to close it
169860 Dean :  Laurine: Hope you know what you are doing. :)
169866 Bennett :  which comes to 5.022 TB here
169868 Shawanda :  but I cant find a firefox process
169878 Lajuana :  Shawanda: it's called "firefox-bin" or somesuch
169878 Asuncion *  entered the room.
169903 Lajuana :  Shawanda: ps -fea | grep firefox
169911 Laurine :  ( ((1024 * 1024 * 15 ) / 8) * (30 * 24 * 60 * 60) ) / ( 1024 * 1024 * 1024 * 1024 )  ==  ( bytes per seconds ) * ( seconds per month ) / ( byte in a terabytes )   <== is that correct?
169914 Jose *  left the room (quit: Connection timed out).
169918 Jermaine *  entered the room.
169939 Bennett :  Laurine: I dont think the Mbit/s is base_2
169943 Dean :  Laurine: don't forget async transfers, and protocol over head.
169944 Laurine :  Bennett, using 1024 instead of 1000 gave me ~4.63
169952 Bennett :  Laurine: usually in transfer speeds one uses base_10
169960 Shawanda :  no results
169971 Shawanda :  only the grep thingy itself
169977 Dennis *  left the room (quit: "leaving").
169978 Hoa *  left the room (quit: "OUT OF CHEESE ERROR AT LINE 42").
169989 Bennett :  however I forgot to use 1024 in the last bit at my first go, I get 4.567 now
169996 Chauncey *  left the room (quit: Operation timed out).
170001 Bennett :  rpncalc 15000000 8/ 31 24* 60* 60** 1024/ 1024/ 1024/ 1024/
170010 Seymour *  entered the room.
170026 Lajuana :  Anyways. Depending on whether you use real units or base-10 units, you get between 4.6 and 5.1 TB or so.
170036 Seymour *  left the room.
170039 Sharell *  entered the room.
170062 Bennett :  I would be surprised if the Mbit/s transfer speed is in base_2
170082 Laraine *  entered the room.
170091 Bennett :  as they are usually bound to a frequency which is base_10
170137 Bennett :  but you could calculate a worst case by assuming base_2 and thus you should come out on the safe side
170169 Jaymie :  what is the justification for permitting OEMs to negotiate special deals on software?
170174 Jaymie :  isn't it anti-competitive?
170183 Hyun *  entered the room.
170195 Hyun :  hi all
170208 Hyun :  any 1 availble to lend a hand?
170213 Rachel :  Jaymie: to negotiate special deals is a common business act, and a competitive one
170215 Shawanda :  Dean thx for your clamav tip, Im downloading it now
170225 Rachel :  Hyun: ask a question. :-)
170254 Aron :  38.31481933593750000000
170262 Hyun :  i run suse and i hav e already been in #suse and there as much use a chocolate fireguard suse won't automount any cd's or dvd
170263 Hyun :  's
170263 Aron :  that's how many tb/m
170263 Shawanda :  Lajuana thank you for your help, but I cant find it. maybe a firefox bug... it is saved as being running somewhere... that could be possible, depending on the way how firefox finds out that its already running. Im sure a restart will fix that
170272 Evon *  entered the room.
170276 Aron :  that's the lowdown mofo
170285 Aron :  i rock and stuff and junk
170288 Jaymie :  Rachel: is it like when contractors bid for a project?
170303 Tyra *  entered the room.
170306 Hyun :  any 1?
170339 Hermina :  Hyun: try mount /dev/cdrom
170349 Melida *  left the room (quit: Connection reset by Brandie).
170357 Hyun :  ok
170366 Rachel :  Jaymie: no.  Its just the way most interactions between any two businesses goes most of the time.   Any non-retail, business to busioness deal is subject to negotiation and a smart businessperson always asks for a better price.
170374 Aron :  Laurine: yo!
170381 Corrin *  entered the room.
170382 Aron :  you got that?
170392 Aron :  mine is the perfect answer!
170396 Hyun :  mount /dev/cdrom
170404 Laurine :  Aron, what's the "38.31481933593750000000"?
170404 Corrin :  hi
170410 Aron :  38.31481933593750000000
170427 Aron :  is the number of terabytes you can do in a month with a connection at 15mbps going 24/7
170431 Hyun :  can't find /dev/hdc in /etc/fstab or /etc/mtab
170440 Hyun :  Hermina:
170443 Magdalen *  left the room (quit: Read error: 110 (Connection timed out)).
